OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME,Longitude,Latitude
80,543207,"600 5TH AV S, SEATTLE, WA   98104",365,Uwajimaya Village,7am-10pm,6am-11pm,7am-11pm,SURFACE LOT,7.5,15,,,,International Parking Management,,,,N,IPM,0,,,,,-122.3268741,47.59698437
81,582530,"1942 WESTLAKE AV, SEATTLE, WA   98101",373,Metropolitan Tower Garage,,,,GARAGE,8,9,9,18,24,International Parking Management,(206) 254-0811,,,N,,0,,,,,-122.3374813,47.61487027
82,2000022,"505 1ST AVE S, SEATTLE, WA 98104",440,Lot 28,Self park location,Self park location,Self park location,GARAGE,5,12,14,,,International Parking Management,(206)254-0811,,,N,IPM,,,,,,-122.334776,47.59806523
83,560186,"1516 1ST AV, SEATTLE, WA   98101",90,1st & Pike (#01),Self park location,Self park location,Self park location,SURFACE LOT,7,9,11,21,1,International Parking Management,(206)254-0811,,,N,ANALYTICAL RESOURCES #81879,0,,,,,-122.3401317,47.609456
84,634485,"150 DENNY WY, SEATTLE, WA   98109",143,Church Garage,Self park location,Self park location,Self park location,GARAGE,,5,,10,5,International Parking Management,(206) 254-0811,,,N,CINERAMA #81097,0,,,,,-122.3539118,47.61878381
85,627197,"1010 E PIKE ST, SEATTLE, WA   98122",26,Lot 22,,,,SURFACE LOT,5,5,7,13,,International Parking Management,(206) 254-0811,,,N,,0,,,,,-122.3192953,47.61421225
86,549410,"1700 7TH AV, SEATTLE, WA   98101",591,,6:00am - 10:00pm,8:00am - 10:00pm,9:00am - 10:00pm,GARAGE,8,8,,30,10,IMPARK,,,,N,IMPARK,0,,,,,-122.335232,47.61398708
87,530468,"1922 3RD AVE, SEATTLE, WA   98101",328,Securities Building Lower Lot - Lot #1,6:30am - 11:00pm,8:00am - 1:00am,9:00am - 8:00am,GARAGE,6,8,10,25,,IMPARK,,,,N,IMPARK,0,,,,,-122.3390335,47.61229486
88,614874,"609 6TH AV, SEATTLE, WA   98104",674,Seapark Parking Garage #679,6am-10pm,CLOSED,CLOSED,GARAGE,9,11,,28,14,IMPARK,,,,N,IMPARK,0,,,,,-122.3287241,47.60439025
89,605780,"600 OLIVE WY, SEATTLE, WA   98101",233,600 Olive Way Garage - Lot #58,6:00am - 12:00am,8:00am - 12:00am,9:00am - 12:00am,GARAGE,6,12,18,24,,IMPARK,,,,N,IMPARK,0,,,,,-122.3361954,47.61339653
90,565731,"601 WALL ST, SEATTLE, WA   98121",17,,24 hours,24 hours,24 hours,SURFACE LOT,2,2,,17,1,IMPARK,,,,N,IMPARK,0,,,,,-122.3438845,47.61799916
91,614875,"2229 7TH AV, SEATTLE, WA 98121",18,Fastenal Lot - Lot #68,24 hours,24 hours,24 hours,SURFACE LOT,5,5,,17,,IMPARK,,,,N,IMPARK,0,,,,,-122.3414615,47.61705476
92,593008,"220 6TH AV N, SEATTLE, WA   98109",28,6th Avenue North & Thomas - Lot #20,,,,SURFACE LOT,4,4,,,1,IMPARK,,,,N,IMPARK,0,,,,,-122.3445972,47.62055636
93,545710,"2301 7TH AV, SEATTLE, WA   98101",97,7th & Bell - Lot #8,24 hours,24 hours,24 hours,SURFACE LOT,5,5,,17,2,IMPARK,,,,N,IMPARK,0,,,,,-122.3418097,47.61731549
94,637246,"8500 GREENWOOD AV N, SEATTLE, WA   98103",43,Chase Bank,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3549876,47.6907706
95,596087,"220 8TH AV N, SEATTLE, WA   98109",12,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3407105,47.62009815
96,679471,"122 BOREN AVE N, SEATTLE, WA 98109",35,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3356966,47.61896168
97,635362,"4244 11TH AV NE, SEATTLE, WA   98105",17,,,,,SURFACE LOT,,,,,1,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3162897,47.65970289
98,640019,"411 PONTIUS AV N, SEATTLE, WA 98109",10,,,,,SURFACE LOT,,,,,1,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3320787,47.62235052
99,633195,"55 BELL ST, SEATTLE, WA   98121",23,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3476953,47.61217645
100,625114,"500 2ND AV W, SEATTLE, WA   98119",28,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.33174,47.60197783
101,593923,"400 4TH AV, SEATTLE, WA   98104",68,,,,,SURFACE LOT,,,,,2,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3287663,47.60211409
102,596093,"4100 UNIVERSITY WY NE, SEATTLE, WA   98105",15,,,,,SURFACE LOT,,,,,1,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3129099,47.65697997
103,625134,"1206 1ST AV, SEATTLE, WA   98101",28,,,,,SURFACE LOT,,,,,1,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3375106,47.60660444
104,153042,"1550 N 115TH ST, SEATTLE, WA   98133",693,Northwest Hospital,24 Hours,24 Hours,24 Hours,SURFACE LOT,3,5,7,7,,Northwest Hospital,,,,N,NORTHWEST HOSPITAL,0,,,,,-122.3368881,47.71424826
105,593932,"557 ROY ST, SEATTLE, WA   98109",32,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3459327,47.62515884
106,635468,"800 OLIVE WY, SEATTLE, WA   98101",7,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3332338,47.61456972
107,693814,"525 NE NORTHGATE WAY, SEATTLE, WA 98125-6106",32,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3220329,47.7083279
108,593926,"1524 ALASKAN WY, SEATTLE, WA   98101",60,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3418681,47.6082781
109,588180,"200 8TH AV N, SEATTLE, WA   98109",42,,,,,SURFACE LOT,,,,,2,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3407105,47.62009815
110,593898,"922 1ST AV S, SEATTLE, WA   98104",46,,,,,SURFACE LOT,,,,,2,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3337067,47.59425816
111,640451,"4520 M L KING JR WY S, SEATTLE, WA 98108",20,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.2939606,47.56260172
112,584186,"1800 TERRY AV, SEATTLE, WA   98101",17,,,,,SURFACE LOT,,,,,2,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3323799,47.61591189
113,556118,"501 N 59TH ST, SEATTLE, WA   98103",195,Bear Lot,9:30am - 4:00pm,9:30am - 4:00pm,9:30am - 4:00pm,SURFACE LOT,,,,6,,,,,,N,WOODLAND PARK ZOO LOT,,,,,,-122.3522491,47.6712265
114,651564,"4315 15TH AV NE, SEATTLE, WA 98105",95,,U District Book Store,,,,5,10,15,20,,,,,,Y,,0,,,,,-122.3124109,47.65925792
115,556115,"600 N 50TH ST, SEATTLE, WA   98103",276,Hippo Lot,9:30am - 4:00pm,9:30am - 4:00pm,9:30am - 4:00pm,SURFACE LOT,,,,6,,,,,,N,WOODLAND PARK ZOO LOT,0,,,,,-122.3506232,47.66545225
116,625644,"2001 W GARFIELD ST, SEATTLE, WA   98119",1100,Smith Cove Cruise,Open Cruise Days Only,Open Cruise Days Only,Open Cruise Days Only,SURFACE LOT,7,12,12,27,,,,,http://www.rpnw.com/lot/seattle/30-084,N,REPUBLIC - PIER 91,0,,,,,-122.3825915,47.6306366
117,556116,"5000 PHINNEY AV N, SEATTLE, WA   98103",140,Flamingo Lot,9:30am - 4:00pm,9:30am - 4:00pm,9:30am - 4:00pm,SURFACE LOT,,,,6,,,,,,N,WOODLAND PARK ZOO LOT,0,,,,,-122.3540174,47.66539632
118,556117,"5500 PHINNEY AV N, SEATTLE, WA   98103",61,Penguin Lot,9:30am - 4:00pm,9:30am - 4:00pm,9:30am - 4:00pm,SURFACE LOT,,,,6,,,,,,N,WOODLAND PARK ZOO LOT,0,,,,,-122.3536881,47.66853223
119,76131,"2232 NW MARKET ST, SEATTLE, WA   98107",35,Ballard Square,24 hours,24 hours,24 hours,GARAGE,2,3,6,,,,,,,N,REPUBLIC,0,,,,,-122.3862672,47.66907931
120,629202,"5350 30TH AV NW, SEATTLE, WA   98107",44,Jacobson Terminals Lot,24 hours,24 hours,24 hours,SURFACE LOT,2,3.5,8,,,,,,,N,REPUBLIC - JACOBSON TERMINAL,0,,,,,-122.3944201,47.66678696
121,562641,"4730 15TH AV NE, SEATTLE, WA   98115",64,University Christian Church,24 hours,24 hours,24 hours,SURFACE LOT,6,6,8,10,,,,,,N,REPUBLIC,0,,,,,-122.3117581,47.66398566
122,584055,"4518 UNION BAY PL NE, SEATTLE, WA   98115",34,Union Bay Plaza,,,,,,,,,,,,,,N,DIAMOND,0,,,,,-122.2930158,47.66209777
123,625172,"3216 NE 45TH ST, SEATTLE, WA   98105",50,Lakeview Medical Building,,,,,,,,,,,,,,N,DIAMOND,0,,,,,-122.29129,47.66134448
124,681392,"400 WALL ST, SEATTLE, WA 98121",10,,,,,,,,,,,,,,,N,,,,,,,-122.3462428,47.6170637
125,625120,"2701 3RD AV, SEATTLE, WA   98121",28,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,-122.3493556,47.61704869
126,639317,"2505 3RD AV, SEATTLE, WA   98121",14,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3475614,47.61595024
127,635168,"2413 3RD AV, SEATTLE, WA   98121",56,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3470368,47.61570326
128,664625,"1100 1ST AVE, SEATTLE, WA 98101",161,,,,,GARAGE,,,,,,,(206) 521-2707,,,N,,,,,,,-122.3366438,47.60581292
129,628567,"719 2ND AV, SEATTLE, WA   98104",204,,6am-8pm,CLOSED,CLOSED,GARAGE,9,13,16,25,,,,,,N,IMPARK - MILENNIUM BUILDING,0,,,,,-122.3338921,47.6033098
130,673882,"999 3RD AVE, SEATTLE, WA 98104",676,,24 Hours,24 Hours,24 Hours,,,,,,,,(206) 652-5515,,,N,,,,,,,-122.3342731,47.60504617
131,687301,"720 3RD AVE, SEATTLE, WA 98104",216,,,,,GARAGE,10.99,13.43,19.52,30.51,,,,,,N,,,,,,,-122.332252,47.60410878
132,635357,"925 4TH AV, SEATTLE, WA   98104",500,IDX Building,6:30am-7pm,7am-5pm,closed,GARAGE,13,20,,31,9,AMPCO,(425) 462-7515,,,N,DIAMOND,0,,,,,-122.3331943,47.60549098
133,639862,"1122 POST AL, SEATTLE, WA 98104",7,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3375949,47.60571153
134,663917,"2300 6TH AVE, SEATTLE, WA 98121",28,,,,,,,,,,,,,,,N,,,,,,,-122.3421153,47.61703713
135,503419,"117 3RD AV S, SEATTLE, WA   98104",34,Frye Parking Garage,,,,GARAGE,,,,,,Butler Parking,(206)622-4367,,,N,FRYE PARKING GARAGE,0,,,,,-122.3306384,47.60122581
136,536943,"201 S KING ST, SEATTLE, WA   98104",1165,,,,,,,,,,,,,,,N,QWEST FIELD PARKING - NORTH LOT,0,,,,,-122.3317937,47.59812437
137,692443,"701 5TH AVE, SEATTLE, WA 98104",703,,5:30am - 9:30pm,9:00am - 9:30pm,Closed,GARAGE,,23,25,34,,,,,,N,,,,,,,-122.3307205,47.60453507
138,682462,"303 10TH AVE, SEATTLE, WA 98122",15,,,,,GARAGE,,,,,,,,,,N,,,,,,,-122.3197366,47.60456215
139,692216,"1029 S JACKSON ST, SEATTLE, WA 98001",24,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3182011,47.59899129
140,667143,"112 OCCIDENTAL AVE S, SEATTLE, WA 98104",56,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3324803,47.6012287
