City Feature,Common Name,Address,Website,Longitude,Latitude
Tennis Courts,Kinnear Park,899 W Olympic Pl.,http://www.seattle.gov/parks/park_detail.asp?ID=314,-122.367207,47.627317
Tennis Courts,West Magnolia Playfield,2518 34th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=319,-122.399506,47.64339
Tennis Courts,David Rodgers Park,2800 1st Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=331,-122.359484,47.644135
Tennis Courts,Laurelhurst Playfield,4544 NE 41st St.,http://www.seattle.gov/parks/park_detail.asp?ID=340,-122.278019,47.659889
Tennis Courts,Meadowbrook Playfield,10533 35th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=352,-122.293495,47.705784
Tennis Courts,Garfield Playfield,23rd Ave. and E Cherry St.,http://www.seattle.gov/parks/park_detail.asp?ID=353,-122.301386,47.607025
Tennis Courts,Leschi Park,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.286548,47.600931
Tennis Courts,Madison Park,E. Madison St. and E. Howe St.,http://www.seattle.gov/parks/park_detail.asp?ID=369,-122.276602,47.635779
Tennis Courts,Madrona Playground,3211 E Spring St.,http://www.seattle.gov/parks/park_detail.asp?ID=371,-122.289887,47.611022
Tennis Courts,Pendleton Miller Playfield,400 19th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=373,-122.306261,47.621432
Tennis Courts,Montlake Playfield,1618 E Calhoun St.,http://www.seattle.gov/parks/park_detail.asp?ID=376,-122.310083,47.642407
Tennis Courts,Ravenna Park,5520 Ravenna Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=391,-122.305705,47.671404
Tennis Courts,Warren G. Magnuson Park,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.255084,47.680304
Tennis Courts,Volunteer Park,1247 15th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=399,-122.315568,47.630378
Tennis Courts,Beacon Hill Playground,1902 13th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=400,-122.315325,47.586228
Tennis Courts,Brighton Playfield,6000 39th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=402,-122.282098,47.548389
Tennis Courts,Cleveland Playfield,S Lucile St. and 13th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=404,-122.315544,47.552012
Tennis Courts,Georgetown Playfield,750 S Homer St.,http://www.seattle.gov/parks/park_detail.asp?ID=410,-122.321395,47.551619
Tennis Courts,Mount Baker Park,2521 Lake Park Dr. S,http://www.seattle.gov/parks/park_detail.asp?ID=419,-122.288481,47.580957
Tennis Courts,Rainier Beach Playfield,8802 Rainier Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=422,-122.273135,47.52504
Tennis Courts,Rainier Playfield,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.286199,47.561819
Tennis Courts,Amy Yee Tennis Center,2000 MLK Jr. Way S,http://www.seattle.gov/parks/park_detail.asp?ID=426,-122.29742,47.584876
Tennis Courts,Seward Park,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=428,-122.25245,47.5543
Tennis Courts,University Playground,9th Ave. NE and NE 50th St.,http://www.seattle.gov/parks/park_detail.asp?ID=435,-122.319311,47.664447
Tennis Courts,Victory Heights Playground,1737 NE 106th St.,http://www.seattle.gov/parks/park_detail.asp?ID=438,-122.307836,47.705672
Tennis Courts,Freed Hutchinson Playground,S Norfolk St. and 59th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=439,-122.260061,47.514311
Tennis Courts,Beer Sheva Park,8650 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=440,-122.263223,47.524191
Tennis Courts,Alki Playground,5817 SW Lander St.,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407313,47.578497
Tennis Courts,Wallingford Playfield,4219 Wallingford Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=449,-122.337434,47.658554
Tennis Courts,Delridge Playfield,4458 Delridge Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=450,-122.364369,47.562841
